Reference,Qty,Value,Footprint,LCSC Part,Datasheet
"C1,C2",2,1μF,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C52923,~
C3,1,0.1μF,Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525,~
D1,2,LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2296,~
D2,2,LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2297,~
D3,1,SS34,easyeda2kicad:SMA_L4.3-W2.6-LS5.2-RD,C8678,https://www.vishay.com/docs/88751/ss32.pdf
Q1,1,FS8205A,Package_TO_SOT_SMD:SOT-23-6,C2830320,
Q2,1,AO3415A,easyeda2kicad:SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C5350990,
"R1,R5",2,1k,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C11702,~
R2,1,10k,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744,~
R6,1,100,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25076,~
RP1,1,1.2k,Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25862,~
SW1,1,MK-12C08-G1.5,easyeda2kicad:SW-SMD_DEALON_MK-12C08-G1.5,C2904922,
U2,1,DW01,Package_TO_SOT_SMD:SOT-23-6,C917079,
U3,1,TP4056-42-ESOP8,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,C382139,https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf
