Designator,Mid X,Mid Y,Layer,Rotation
Battery1,87.23,-51.36,top,90
C1,72.2125,-63.5,top,180
C2,72.0375,-54.25,top,0
C3,80.9625,-61.75,top,180
D1,70.75,-50.225,top,90
D2,75.5,-50.25,top,90
D3,87.25,-65.75,top,-90
Extra1,56.75,-66.6,top,90
J1,56.95,-57,top,-90
Out1,87.23,-58.98,top,90
Q1,81.05,-50.1125,top,-90
Q2,75.01,-67,top,180
R1,64.5,-51.75,top,180
R2,69.25,-68,top,180
R5,80.25,-53.75,top,180
R6,81.55,-65,top,90
R_CC1,64.5,-59.25,top,0
R_CC2,64.5,-63,top,0
R_PROG1,64.5,-55.5,top,0
U2,81.3,-57.6125,top,-90
U3,72.05,-59.095,top,0
